,Time,t3-1,t3-2,t3-3,t3-4,t3-5,t20-1,t20-2,t20-3,t20-4,t20-5,t37-1,t37-2,t37-3,t37-4,t37-5
112,11.2,0.4791368,0.3174554,0.298555,0.2632,0.2656296,0.5283296,0.3651138,0.3491637,0.3143103,0.2848828,0.4568237,0.3746407,0.3902502,0.3164398,0.3224329
113,11.3,0.4670387,0.3237629,0.2925983,0.265596,0.282424,0.5313487,0.363321,0.3394696,0.3226862,0.2860483,0.4446903,0.3870777,0.3994554,0.3149449,0.3422652
114,11.4,0.4683172,0.3348785,0.2977861,0.2796277,0.2711021,0.5530149,0.3855537,0.3298462,0.3185435,0.2921241,0.4781516,0.3734499,0.3820444,0.3371713,0.3550271
115,11.5,0.480479,0.3292925,0.2965987,0.2764902,0.2707687,0.5258204,0.3994776,0.3401667,0.3309522,0.2978622,0.4554827,0.3661279,0.3618055,0.3535208,0.3285976
116,11.6,0.4757627,0.3385858,0.2923675,0.2697664,0.2816097,0.5445122,0.3649456,0.3533646,0.3205505,0.3020126,0.4758694,0.365402,0.3798565,0.3389181,0.3557828
117,11.7,0.4787632,0.3359725,0.2999194,0.2655132,0.2629705,0.5394177,0.3841475,0.362583,0.3211814,0.2909839,0.510903,0.3684127,0.3671143,0.3411984,0.3462432
118,11.8,0.4765429,0.3393629,0.2896845,0.2662612,0.2643095,0.5279244,0.3945619,0.380302,0.321545,0.298438,0.47758,0.3698718,0.3703257,0.3327548,0.3180946
119,11.9,0.4804782,0.3476418,0.2952171,0.2815316,0.2635774,0.5566945,0.4051673,0.3669954,0.3262947,0.2953608,0.4952583,0.3579308,0.367912,0.3454441,0.3290752
120,12.0,0.477139,0.3634059,0.2940806,0.2664874,0.2618335,0.5285582,0.404776,0.3622835,0.3302926,0.2909786,0.4688908,0.3684846,0.3512235,0.3649897,0.3341512
121,12.1,0.4810312,0.3477974,0.2861223,0.2730157,0.2653668,0.517978,0.384169,0.3667052,0.3271378,0.2873488,0.4788217,0.3785549,0.3355316,0.3360276,0.3243726
122,12.2,0.4801127,0.3470733,0.2785344,0.2759248,0.2662668,0.5512253,0.3650923,0.357266,0.327382,0.2909512,0.4930999,0.3609069,0.3293093,0.3244014,0.335248
123,12.3,0.478963,0.3566023,0.2800516,0.2553288,0.2777649,0.5464435,0.3552079,0.3527594,0.3217554,0.2860267,0.4915499,0.3715689,0.309971,0.3349237,0.3549767
124,12.4,0.4621952,0.3603913,0.288535,0.2588792,0.2923323,0.5415725,0.3508572,0.3687438,0.3144219,0.2907084,0.4683989,0.3954089,0.2995015,0.3233588,0.3355253
125,12.5,0.4743778,0.3604806,0.2833365,0.2729249,0.2851453,0.5399268,0.3518421,0.3609785,0.3155515,0.272768,0.4563757,0.3647311,0.303824,0.3308934,0.3437952
126,12.6,0.4867652,0.349224,0.3017333,0.2743976,0.2775992,0.5370923,0.3758042,0.3312432,0.3224193,0.2811966,0.4669629,0.355696,0.3078101,0.3165035,0.3547845
127,12.7,0.489508,0.3529747,0.2858609,0.2707396,0.2785012,0.5576552,0.3659028,0.3420343,0.3353626,0.2791288,0.4506991,0.3709424,0.3299356,0.3106157,0.3381372
